course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
coventry,-1.522121,52.391211,06/02/2010,9.1,409,19.4
,,,,,,
harrogate,-1.524739,53.991057,21/01/2012,7.1,296.3,22
,,,,,,
risingsun,-1.5290955,55.019374,04/06/2016,2.8,290.5,24.5
,,,,,,
conkers,-1.539159,52.733329,16/04/2011,7.9,302.2,21.7
,,,,,,
lymingtonwoodside,-1.545457,50.748214,09/07/2016,2.7,106,14.4
,,,,,,
crossflatts,-1.556067,53.773548,30/03/2013,6,102.4,12.1
,,,,,,
middletonwoods,-1.55707,53.75196,28/04/2018,0.9,86.2,13.6
,,,,,,
darlingtonsouthpark,-1.557999,54.514916,15/12/2012,6.2,249.4,20.4
,,,,,,
woodhousemoor,-1.558127,53.810725,06/10/2007,11.4,294.9,17.9
,,,,,,
durham,-1.56241,54.7753,13/08/2011,7.6,278.4,24.2
,,,,,,
riverside,-1.563535,54.855194,14/07/2012,6.7,224.1,19.1
,,,,,,
windynook,-1.567998,54.93968,02/12/2017,1.3,42.1,10.3
,,,,,,
fountainsabbey,-1.577826,54.112452,01/03/2014,5,286.4,18.5
,,,,,,
druridgebay,-1.5798,55.293877,09/08/2014,4.6,157.3,16.7
,,,,,,
armley,-1.5954638,53.8016013,30/06/2018,0.7,184.8,24.8
,,,,,,
gateshead,-1.604347,54.945571,18/02/2012,7.1,156.4,16.1
,,,,,,
newcastle,-1.620526,54.989409,16/01/2010,9.2,387.4,26.6
,,,,,,
bramley,-1.634774,53.813524,13/06/2015,3.7,164.4,25.7
,,,,,,
rosliston,-1.639334,52.754545,12/03/2016,3,171.7,29.7
,,,,,,
brockenhurst,-1.642381,50.808308,25/05/2013,5.8,107.3,13.6
,,,,,,
hackworth,-1.647177,54.629785,09/03/2013,6,42.1,10.3
,,,,,,
dewsbury,-1.647584,53.688816,23/06/2012,6.7,93.6,12.3
,,,,,,
catterick,-1.649558,54.387024,17/06/2017,1.7,175.3,19.3
,,,,,,
oakwellhall,-1.670635,53.740707,19/07/2014,4.6,190.9,27.8
,,,,,,
bakewell,-1.675265,53.230855,06/01/2018,1.2,182.5,12
,,,,,,
kingsburywater,-1.692796,52.560699,20/07/2013,5.6,300.7,20
,,,,,,
stratforduponavon,-1.701442,52.185465,20/02/2016,3.1,281.4,26.7
,,,,,,
marlboroughcommon,-1.732506,51.424492,22/09/2018,0.5,142.3,22.3
,,,,,,
