course,imd_sc,srvd_lsoa,srvd_pop,pop_km2,nearestlsoa
ashton-court,4.389,161,262972,443,E01014850
somerdalepavilion,3.35,77,119155,953,E01014934
thornbury,22.04,22,36522,978,E01014991
chippingsodbury,8.316,29,45811,4107,E01015018
mountedgcumbe,55.354,100,166469,3098,E01015047
plymvalley,17.425,109,174427,1290,E01015091
torbayvelopark,16.078,107,168184,1928,E01015220
bournemouth,3.954,130,226979,2130,E01015315
poole,18.002,84,137782,4362,E01015468
peterborough,6.09,132,233094,590,E01015648
lutonwardown,21.218,115,206535,8315,E01015700
southend,11.699,58,100523,3550,E01015920
thurrock,15.494,87,152877,2185,E01015937
greatlines,48.526,90,164220,12750,E01016049
brooklands,12.691,66,99607,376,E01016058
bracknell,4.318,121,196301,2412,E01016214
newbury,11.827,71,117155,329,E01016293
prospect,17.5,101,163911,3015,E01016419
uptoncourt,10.026,99,182205,4773,E01016515
maidenhead,7.53,63,101513,1191,E01016592
reading,9.708,41,71325,3870,E01016614
woodley,7.831,32,51666,4077,E01016616
dintonpastures,5.532,38,63733,1493,E01016702
linfordwood,30.962,85,150493,1069,E01016804
hovepromenade,19.257,24,42289,16876,E01016849
bevendeandown,30.846,58,103686,6896,E01016907
prestonpark,17.209,48,86781,3600,E01016935
brighton,9.568,60,95046,2103,E01016980
portsmouthlakeside,47.638,65,104554,2255,E01017053
southsea,18.464,149,251784,4615,E01017070
southampton,7.979,157,264974,1818,E01017252
bedford,20.505,68,109153,13858,E01017497
greatdenham,12.213,48,84877,2754,E01017510
rushmere,11.232,45,78109,166,E01017577
houghtonhall,24.409,75,126623,1718,E01017581
buckingham,5.712,27,49293,2705,E01017644
aylesbury,21.93,73,123058,3812,E01017667
springhill,13.712,10,15168,70,E01017673
wendoverwoods,4.942,21,36097,479,E01017728
black-park,15.708,47,94545,200,E01017834
higginsonmarlow,1.5,23,36153,892,E01017892
wycomberye,11.289,106,174493,2402,E01017910
coldhamscommon,20.181,89,154837,1637,E01017945
littleport,17.22,39,69315,63,E01018045
march,27.354,49,93175,2941,E01018087
manorfieldwhittlesey,15.932,32,52288,1936,E01018101
huntingdon,6.993,66,110117,1979,E01018148
pocket,8.062,40,68837,5008,E01018181
cambridge,21.015,66,110660,961,E01018273
wimpoleestate,7.027,39,68120,87,E01018275
chester,55.722,67,108277,2446,E01018310
congleton,5.134,62,100616,1861,E01018397
crewe,20.035,106,171697,1744,E01018483
ellesmereport,11.21,66,98651,4261,E01018565
lymepark,8.034,47,70858,1960,E01018585
wilmslow,5.957,31,53333,1586,E01018602
macclesfield,13.662,45,72979,3077,E01018635
delamere,8.181,21,36219,94,E01018684
northwich,41.465,67,109076,1572,E01018714
tamartrails,16.96,44,78719,353,E01018755
trelissick,12.686,63,109816,175,E01018816
penrose,24.14,46,81040,584,E01018887
heartlands,40.216,61,102487,458,E01018897
lanhydrock,18.199,49,79846,1127,E01018935
tamarlakes,21.145,21,41339,35,E01018943
edenproject,28.678,53,92296,409,E01019059
whinlatterforest,11.307,11,18233,12,E01019092
keswick,10.337,6,7855,3923,E01019103
workington,47.169,38,62048,398,E01019122
barrow,20.762,47,63430,1790,E01019168
carlisle,20.334,82,129380,3641,E01019233
blackcombe,22.13,2,2758,275,E01019283
millom,25.414,9,12788,903,E01019290
whitehaven,51.594,40,56069,5325,E01019295
penrith,7.729,34,49630,624,E01019326
fellfoot,18.574,41,75837,29,E01019386
ford,11.467,12,21599,1077,E01019390
shipleycountry,27.812,114,179128,4113,E01019437
poolsbrook,50.162,107,165584,896,E01019566
bakewell,8.625,33,52418,78,E01019600
longeaton,5.361,68,111568,2819,E01019708
glossop,22.111,24,38196,1408,E01019750
rosliston,6.122,78,130537,91,E01019850
exmouth,25.954,35,60886,4110,E01019918
seaton,19.817,49,79914,3629,E01019947
exeterriverside,9.28,86,151488,3675,E01020023
killerton,13.12,51,98263,154,E01020071
barnstaple,23.599,57,95151,10108,E01020130
parke,13.623,34,55654,49,E01020205
teignmouthpromenade,38.262,53,82172,5176,E01020269
bideford,32.366,29,51609,3356,E01020282
moorsvalley,8.012,53,84393,2156,E01020419
blandford,7.994,22,39364,5097,E01020435
uptonhouse,17.134,59,92012,1569,E01020471
weymouth,5.056,70,122576,2758,E01020560
riverside,9.402,69,107374,803,E01020595
blackhill,16.058,37,62003,2932,E01020632
cotsfordfields,31.744,84,126026,2052,E01020768
hackworth,25.831,82,129415,3537,E01020801
sedgefield,4.098,25,40581,1417,E01020829
eastbourne,22.392,105,176230,6429,E01020918
hastings,31.496,102,172667,3124,E01021016
peacehaven,16.356,49,80924,5069,E01021058
billericay,4.03,38,62093,2653,E01021247
basildon,55.156,99,167443,9965,E01021271
greatnotley,12.033,55,98828,1623,E01021385
brentwood,10.14,47,80273,157,E01021468
hadleigh,10.894,84,134887,971,E01021520
southwoodhamferrers,3.651,21,34185,2609,E01021609
chelmsfordcentral,8.455,83,134188,4621,E01021632
colchestercastle,33.124,102,183864,4395,E01021649
rodingvalley,10.082,59,98352,5109,E01021783
gunpowder,25.034,77,139842,2052,E01021817
harlow,25.273,70,115325,1134,E01021853
burnhamoncrouch,10.634,13,20102,1224,E01021881
maldonprom,31.216,54,86857,682,E01021889
hockleywoods,6.41,68,111562,5282,E01021937
merseaisland,17.848,15,25300,4096,E01021982
harwich,47.066,21,36185,3235,E01022001
clactonseafront,24.284,52,83192,1019,E01022036
cheltenham,6.715,93,152770,2021,E01022139
cirencester,10.05,33,55168,3748,E01022191
forest-of-dean,13.547,29,48363,2433,E01022229
lydney,31.671,16,27132,2494,E01022254
newent,15.74,25,42817,1420,E01022261
gloucesternorth,6.925,27,43955,1777,E01022314
gloucestercity,68.174,53,91765,4038,E01022347
stonehouse,29.141,44,75718,1543,E01022403
wotton,6.674,22,36991,2544,E01022418
tewkesbury,21.073,27,42974,1250,E01022459
basingstoke,16.086,99,161186,4533,E01022507
aliceholt,6.243,28,41036,58,E01022582
queenelizabeth,2.43,21,37293,2948,E01022588
eastleigh,19.911,77,131952,4739,E01022678
netleyabbey,14.523,77,124503,1689,E01022690
fareham,22.476,83,130904,3265,E01022723
havant,41.989,83,132369,889,E01022906
brockenhurst,6.307,30,49245,927,E01022989
lymingtonwoodside,3.31,40,64812,652,E01023044
rushmoor,8.606,89,150446,328,E01023136
andover,3.749,53,101437,778,E01023169
winchester,6.602,45,77688,4439,E01023254
barclay,33.32,41,69700,5408,E01023323
gadebridge,16.079,75,125369,1500,E01023399
tring,6.135,39,63755,3819,E01023426
castlepark,12.437,43,74387,939,E01023450
panshanger,23.827,36,58428,1020,E01023488
westmill,3.132,25,46507,2806,E01023515
aldenham,16.423,40,67934,902,E01023564
letchworth,17.497,91,156337,716,E01023635
jerseyfarm,9.589,44,73153,5752,E01023709
stalbans,3.554,40,69802,1605,E01023743
stevenage,25.653,76,128193,2480,E01023756
southoxhey,23.754,43,74822,4397,E01023828
rickmansworth,3.709,53,85458,4237,E01023852
cassiobury,13.37,67,122788,3519,E01023886
ashford,38.147,78,129807,3618,E01024028
dartfordheath,5.252,40,66803,959,E01024146
dartford,40.157,54,105427,10514,E01024165
walmeranddealseafront,11.924,42,69550,4434,E01024252
shornewoods,14.484,74,120193,98,E01024301
maidstone,26.241,87,156048,4185,E01024384
lullingstone,7,38,61983,128,E01024431
folkestone,29.748,76,129789,7438,E01024509
sittingbourne,11.865,78,134734,5220,E01024576
pegwellbay,9.287,40,69321,841,E01024652
margate,29.421,52,86284,2966,E01024656
tonbridge,15.517,40,68257,6340,E01024756
malling,8.517,40,74061,1989,E01024761
